codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
965881310114315,Pizzaria Vitória,Campo Belo (Cidade Singer),1,47336,4325.608597119673,Fri,53,manha,25,tarde,7,noite,21,"Avenida Antonio Sales Proenca, 570, 13053-330 Campinas"
1445160885718963,Lanchao San Diego,Jardim do Trevo,2,52376,3893.865837973667,Mon,99,manha,9,tarde,71,noite,19,"R: Ivan Astolfi,389, Jd. San Diego., 13052-574 Campinas"
1594913787468111,Delicia Ice Cream Shop,Campo Belo (Cidade Singer),0,47336,4325.608597119673,Sat,20,manha,7,tarde,10,noite,3,"Rua Salim Zaidan, 18 - Vila Palmeiras II, 13053-261 Campinas"
198674690590939,Adega São Jorge,Campo Grande,1,105720,2248.954976227704,Sat,66,manha,30,tarde,34,noite,2,"Antiga 23 N°217, 13059623 Campinas"
465609340175685,Bar lanchonete espaço dos amigos,Barão Geraldo,2,38740,1010.9445050442843,Sat,116,manha,11,tarde,10,noite,95,"Av. Armando Sebastião Bonomi, 52, 13084-643 Campinas"
768047549984569,Bar Empório Araujo,Swift,1,86361,6354.185060921773,Sat,34,manha,11,tarde,10,noite,13,"Rua Bauru, 122 Jd Proença, 13100-445 Campinas"
193273247527869,Cervejoteca Campinas,Flamboyant,2,57756,4607.542022002218,Sun,36,manha,3,tarde,16,noite,17,"Avenida Barão de Itapura, 13073-300 Campinas"
593151810744558,Costa's Bar dos Amigos,PUCCamp (Roseira),1,112644,7192.09306483125,Sun,120,manha,59,tarde,25,noite,36,"Rua José Augusto de Mattos 653 Vila União, 13060748 Campinas"
223277087685758,Piola-Alphaville,Alphavile Campinas,3,13188,580.7593732660448,Thu,161,manha,62,tarde,66,noite,33,"Rua Cumaru, 13098-324 Campinas"
635490273171531,Japanese Food - Brasil,APA Zona Urbana (Sousas Joaquim Egídio),0,19421,901.4993269275403,Thu,29,manha,10,tarde,9,noite,10,"Avenida Antônio Carlos Couto de Barros, 1371 - Sousas, 13105000 Campinas"
362465460758521,Miami Bar,Jardim Capivari,1,23892,3344.775642999938,Tue,63,manha,13,tarde,19,noite,31,"Rua Dracena, 70 - Jd. Itatinga, 13052-443 Campinas"
388211724880387,Império do Chopp,Ouro Verde,0,141490,4786.3739386353645,Tue,33,manha,13,tarde,11,noite,9,"Rua Rafael Iório n° 331 Jardim Cristina, 13054-030 Campinas"
663179567133120,Temakeria Nay,Taquaral,0,62735,4755.858116457308,Tue,48,manha,7,tarde,9,noite,32,"Tomé de Sousa, 131, 13088060 Campinas"
139303162944203,Lanchão - The Mall,Taquaral,2,62735,4755.858116457308,Wed,174,manha,54,tarde,103,noite,17,"Rua Rute Ferraz de Angelis, 886 - Res. Villa Bella, 13087729 Campinas"
595385487181329,Star Clean Barão Geraldo,Barão Geraldo,2,38740,1010.9445050442843,Wed,41,manha,24,tarde,6,noite,11,"Av Atílio Martini, 940, 13083-830 Campinas"
704390099683029,Omatuto Shopping Bandeiras,Complexo Delta,2,469,30.294222136097922,Wed,376,manha,102,tarde,137,noite,137,"Avenida John Boyd Dunlop, 3900, 13060 Campinas"
1683626535241275,Efigênia lanches,Ouro Verde,3,141490,4786.3739386353645,Fri,11,manha,6,tarde,4,noite,1,"Fernando paolieri, 13056-214 Campinas"
432695240115837,Barão Ervas,Barão Geraldo,1,38740,1010.9445050442843,Fri,118,manha,40,tarde,43,noite,35,"Av Santa Isabel, 506, 13084-012 Campinas"
1113502632077070,Universo Dos Pasteis E Lanches,Ouro Verde,0,141490,4786.3739386353645,Mon,78,manha,35,tarde,19,noite,24,"Avenida: Emilly Cristienne Giovanini 814, Campinas"
282709961819064,Possante Bar,Flamboyant,3,57756,4607.542022002218,Mon,26,manha,13,tarde,10,noite,3,"Av. Barão de Itapura, 2964, 13073-300 Campinas"
